U2,RF2
3.480356,2794.449909
3.4960535,2794.449909
3.5105165,2785.616011
3.5257075,2794.449909
3.5408375,2785.616011
3.555369,2794.449909
3.5706965,2776.72928
3.585186,2829.943861
3.5998055,2829.943861
3.614747,2829.943861
3.6300125,2821.057131
3.645035,2821.057131
3.661111,2821.057131
3.6750195,2829.943861
3.689806,2838.830592
3.7054605,2829.943861
3.719362,2829.943861
3.7348415,2829.943861
3.7497685,2829.943861
3.7655615,2821.057131
3.7798005,2821.057131
3.7951995,2821.057131
3.8093295,2874.324544
3.8246115,2874.324544
3.838814,2865.437813
3.8533545,2874.324544
3.8681895,2865.437813
3.882998,2865.437813
3.898139,2865.437813
3.91313,2874.324544
3.928455,2856.551083
3.942541,2874.324544
3.9584015,2856.551083
3.9728895,2856.551083
3.988375,2865.437813
4.0025985,2900.931765
4.0171835,2900.931765
4.0310285,2900.931765
4.0462745,2892.045035
4.0605675,2900.931765
4.0749745,2909.765664
4.089635,2900.931765
4.1038105,2909.765664
4.1187135,2900.931765
4.1329795,2909.765664
4.14833,2909.765664
4.16283,2909.765664
4.178444,2936.425717
4.1923865,2936.425717
4.2071465,2945.259616
4.221486,2945.259616
4.235581,2936.425717
4.25023,2936.425717
4.265003,2945.259616
4.2795935,2927.539125
4.292872,2936.425717
4.3079235,2945.259616
4.320607,2936.425717
4.3362175,2936.425717
4.350437,2980.753568
4.365216,2971.866837
4.378974,2989.640299
4.3942145,2971.866837
4.408292,2980.753568
4.423229,2971.866837
4.437464,2980.753568
4.4526015,2971.866837
4.466589,2980.753568
4.4794255,2980.753568
4.494174,2980.753568
4.5082185,2980.753568
4.5216635,2980.753568
4.535526,3025.134251
4.550724,3025.134251
4.5636605,3025.134251
4.578397,3025.134251
4.592263,3016.24752
4.606375,3016.24752
4.6209565,3016.24752
4.63428,3016.24752
4.6491285,3007.360789
4.6623045,3007.360789
4.676274,3025.134251
4.6896055,3016.24752
4.7039185,3051.741472
4.7170155,3060.628203
4.7311785,3060.628203
4.744844,3051.741472
4.7586665,3060.628203
4.7733935,3051.741472
4.7862745,3051.741472
4.800661,3033.968149
4.8147055,3060.628203
4.8285975,3060.628203
4.8419945,3060.628203
4.8562355,3051.741472
4.869043,3060.628203
4.8831345,3087.235563
4.8964225,3096.069323
4.9095235,3096.069323
4.9240905,3096.069323
4.9375005,3096.069323
4.952351,3087.235563
4.9659055,3087.235563
4.979975,3078.348832
4.9931105,3096.069323
5.0071445,3087.235563
5.01961,3096.069323
5.0335635,3122.729515
5.0466605,3122.729515
5.0596685,3122.729515
5.0733985,3131.563275
5.0867315,3113.842784
5.100529,3131.563275
5.113507,3131.563275
5.1283125,3131.563275
5.140835,3131.563275
5.155072,3122.729515
5.167977,3140.450005
5.180606,3122.729515
5.194801,3131.563275
5.207872,3131.563275
5.221229,3158.170635
5.233439,3167.057227
5.24747,3167.057227
5.2600855,3158.170635
5.2744625,3158.170635
5.2875395,3167.057227
5.3006775,3149.336736
5.314624,3158.170635
5.327672,3158.170635
5.3414355,3167.057227
5.353451,3158.170635
5.3671255,3211.438048
5.379212,3202.551317
5.3926215,3202.551317
5.405899,3211.438048
5.4183765,3202.551317
5.432507,3211.438048
5.4455335,3202.551317
5.4589915,3211.438048
5.4714855,3202.551317
5.485098,3202.551317
5.4970085,3202.551317
5.510522,3246.879029
5.5225295,3238.045269
5.5344805,3246.879029
5.5474825,3246.879029
5.559695,3238.045269
5.573369,3246.879029
5.5858165,3246.879029
5.5992465,3246.879029
5.611429,3238.045269
5.625613,3238.045269
5.6377245,3273.539221
5.649003,3246.879029
5.6623915,3273.539221
5.6749645,3282.372981
5.6878015,3282.372981
5.70007,3273.539221
5.7138465,3273.539221
5.725964,3282.372981
5.738792,3273.539221
5.7515815,3273.539221
5.763031,3282.372981
5.7760915,3282.372981
5.787951,3273.539221
5.800816,3317.867072
5.8128265,3308.980341
5.8254045,3326.753803
5.8378835,3317.867072
5.850288,3317.867072
5.8633715,3308.980341
5.875788,3308.980341
5.8882645,3317.867072
5.8991435,3308.980341
5.9116215,3317.867072
5.922385,3353.361024
5.9348765,3344.474293
5.946871,3353.361024
5.960025,3353.361024
5.9720545,3353.361024
5.9834315,3353.361024
5.995491,3362.247755
6.0054855,3353.361024
6.0176565,3362.247755
6.0284595,3362.247755
6.0410635,3353.361024
6.0528095,3353.361024
6.0648015,3353.361024
6.076488,3388.854976
6.0872815,3397.741707
6.0988415,3388.854976
6.108781,3379.968245
6.120708,3388.854976
6.132615,3388.854976
6.143988,3397.741707
6.1558215,3397.741707
6.167361,3397.741707
6.1789985,3388.854976
6.1886415,3424.348928
6.2003055,3433.182827
6.211178,3433.182827
6.223476,3433.182827
6.2354635,3424.348928
6.2467325,3442.069557
6.258703,3433.182827
6.2694775,3424.348928
6.279913,3442.069557
6.289987,3433.182827
6.30121,3433.182827
6.3128345,3468.676779
6.3244255,3477.563509
6.3364855,3468.676779
6.347525,3468.676779
6.3599065,3468.676779
6.3697715,3468.676779
6.3813725,3459.84288
6.3914225,3468.676779
6.4027645,3468.676779
6.4153895,3468.676779
6.4269565,3468.676779
6.4391,3513.057461
